magnetic	[mægˈnetɪk] a. 磁的，有磁性的；有吸引力的
automatically	[ˌɔ:tə'mætɪklɪ] ad. 自动地；无意识地
versatile	__verstile__ [ˈvɜːsətaɪl] a. 多才多艺的，多面手的；多用途的，通用的
prime	[praɪm] a. 首要的；最好的
combat	|
hockey	[ˈhɔkɪ] n. 曲棍球；冰球
symbol	[ˈsɪmbl] n. 象征；符号
pretension	[prɪˈtenʃn] n. 声称，自命；自负，自命不凡
medieval	[ˏmedɪˈiːvl] a. 中世纪的；中古（时代）的
tender	____ [ˈtendə(r)] a. 嫩的；脆弱的；温柔的
highlight	|
invade	[ɪnˈveɪd] v. 侵犯，侵入，侵略，侵袭
foremost	[ˈfɔːməust] a. 最好的；最重要的
convert	|
expense	[ɪkˈspens] n. 花费，开支；消费，消耗；代价，损失
fake	|
inject	[ɪnˈdʒekt] vt. 注射；注入，灌输
flush	|
decompression	[ˌdi:kəmˈpreʃn] n. 减压；减压室
minimise	[ˈmɪnɪmaɪz] vt. 使减到最低限度；最小化
equator	[ɪˈkweɪtə(r)] n. （地球）赤道
crushing	[ˈkrʌʃɪŋ] a. 惨重的，毁灭性的；压倒的，决定性的
temper	|
advocate	|
provided	[prəˈvaɪdɪd] conj. 倘若，只要，假如
majority	[məˈdʒɔrətɪ] n. 多数，大多数
interrupt	__interrupt_ [ˏɪntəˈrʌpt] v. 中断，中止；阻碍；打断，打扰
symptom	[ˈsɪmptəm] n. 症状；征候，征兆
vet	|
obscurity	__abscurity__ [əb'skjʊərətɪ] n. 模糊；费解；不出名
feed	|
sinew	[ˈsɪnjuː] n. 肌腱；力量的来源
rental	|
foresee	[fɔːˈsiː] vt. 预见，预知
noticeable	[ˈnəʊtɪsəbl] a. 显而易见的；明显的
loose	[luːs] a. 松的；散漫的；不精确的
intermediate	[ˏɪntəˈmiːdɪət] a. 中间的，中级的
grasp	|
superstitious	[ˌsu:pəˈstɪʃəs] a. 迷信的；根据迷信的，由迷信引起的；受迷信思想支配的
encourage	[ɪnˈkʌrɪdʒ] v. 鼓励；促进，激发
multinational	[ˏmʌltɪˈnæʃnəl] a. 多国的，多民族的；跨国公司的  n. 跨国公司
threaten	[θretn] v. 威胁，恐吓；预示（危险）快要来临；是……的征兆，可能发生
compensation	[ˏkɔmpenˈseɪʃn] n. 补偿，赔偿；赔偿物；赔偿金
in-comparison-with	in comparision with 与……比较起来
perpetrate	['pɜ:pətreɪt] vt. 做（坏事），犯（罪）
townscape	[ˈtaʊnskeɪp] n. 市镇风光
refreshment	[rɪˈfreʃmənt] n. （精力的）恢复；[pl.] 茶点，点心，饮料
hassle	[ˈhæsl] n. 困难，麻烦；分歧，争论
camper	___camper_ [ˈkæmpə(r)] n. 露营者，宿营者
enfranchise	__infranchise__ [ɪnˈfræntʃaɪz] vt. 给予……政治权利（尤指选举权）；解放（奴隶）
dweller	[ˈdwelə(r)] n. 居住者，居民
bit	[bɪt] n. 少许；小片；小块
operate	[ˈɔpəreɪt] v. 运转；动手术；起作用；操作；经营
intern	|
extravagant	[ɪkˈstrævəgənt] a. 奢侈的，铺张的；（言行等）无节制的，过分的，放肆的
landscape	|
reinforce	[ˏriːɪnˈfɔːs] vt. 加强；增援
hostility	[hɔˈstɪlətɪ] n. 敌意，敌对，对抗；抵制，反对，否决；[pl.] 交战，战争
on-the-horizon	on the horizon 即将发生的
restrict	[rɪˈstrɪkt] vt. 限制，约束
indispensable	__indespensable__ [ˏɪndɪˈspensəbl] a. 必不可少的，必需的
revelation	[ˏrevəˈleɪʃn] n. 被揭示的真相，（惊人的）新发现；揭示，显示；泄露
delinquency	[dɪˈlɪŋkwənsɪ] n. 失职；行为不良
slander	|
receptionist	[rɪ'sepʃənɪst] n. 接待员
hinge	|
groan	|
worthy	[ˈwɜːðɪ] a. 有价值的；值得的
stress	|
heal	[hiːl] v. 治愈，康复；调停
credit	|
evoke	[ɪˈvəuk] vt. 唤起
gland	[glænd] n. 腺
fieldwork	__fieldword__ [ˈfi:ldwɜ:k] n. 实地调查，野外考察
occasional	[əˈkeɪʒənl] a. 偶尔的，间或发生的
at-random	__at__  __random__ [æt ˈrændəm] 随便地，任意地
shipment	[ˈʃɪpmənt] n. 装运，运输；装载（或运输）的货物，装货量
literature	[ˈlɪtrətʃə(r)] n. 文学（作品）；文献
depart	[dɪˈpɑːt] vi. 离开，起程
domestic	[dəˈmestɪk] a. 本国的；家庭的；驯养的
viable	[ˈvaɪəbl] a. 可行的，可实施的； [生] 能自行生长发育的
backbone	[ˈbækbəʊn] n. 脊椎；骨干；支柱
deviance	['di:vɪəns] n. 异常；偏常行为
visual	[ˈvɪʒuəl] a. 视觉的，用于视觉的
initiative	[ɪˈnɪʃətɪv] n. 倡议，新方案；主动性，积极性；主动权
animate	|
costume	[ˈkɔstjuːm] n. 戏装；（特定场合穿的）成套服装
sluttish	[ˈslʌtɪʃ] a. 懒惰的，邋遢的；放荡的
engross	[ɪnˈgrəus] vt. 使全神贯注，占去（某人的）全部注意力和时间
conceal	[kənˈsiːl] vt. 隐藏；隐瞒；掩盖
latent	[ˈleɪtnt] a. 潜在的，潜伏的，不易察觉的
signature	[ˈsɪgnətʃə(r)] n. 签名，签字；签署
hike	|
infection	[ɪnˈfekʃn] n. 传染，感染，侵染，传播；传染病
accumulate	[əˈkju:mjəleɪt] v. 积累；堆积
concentration	[ˏkɔnsnˈtreɪʃn] n. 集中；专心，专注；浓缩，浓度
assert	[əˈsɜːt] v. 断言，声称；坚持
rarity	[ˈreərətɪ] n. 稀有；稀有的事物
glorious	[ˈglɔːrɪəs] a. 光荣的；壮丽的
distortion	[dɪ'stɔ:ʃn] n. 扭曲，变形；曲解，歪曲
whaling	['weɪlɪŋ] n. 捕鲸
plagiarism	[ˈpleɪdʒərɪzəm] n. （文学、学说等的）剽窃，抄袭；剽窃物
illustrate	[ˈɪləstreɪt] v. （用图等）说明，举例说明，阐明；给……作插图说明
monumental	[ˏmɔnjuˈmentl] a. 纪念碑的，纪念物的；不朽的，有重大意义的
invader	[ɪn'veɪdə(r)] n. 入侵者
humanistic	[ˌhju:mə'nɪstɪk] a. 人文主义的，人性的
transition	[trænˈzɪʃn] n. 过渡，过渡时期；转变，转换，变革
mime	|
combine	[kəmˈbaɪn] v. 联合，结合
irritable	[ˈɪrɪtəbl] a. 急躁的，易怒的，易受刺激的；过敏的
commercial	|
likelihood	[ˈlaɪklihʊd] n. 可能；可能性
president	[ˈprezɪdənt] n. 总统，校长，会长，（大会）主席
calibre	[ˈkælɪbə(r)] n. 质量，才干，能力；口径
controversial	[ˏkɔntrəˈvɜːʃl] a. 争论的
imitate	[ˈɪmɪteɪt] vt. 模仿，模拟；仿效
equation	[ɪˈkweɪʒn] n. 方程式，等式；平衡；等同，相等
distract	[dɪˈstrækt] vt. 转移（注意力）；使分心
manufacturer	[ˌmænjuˈfæktʃərə(r)] n. 制造商，制造厂，生产者
cherry	[ˈtʃerɪ] n. 樱桃（树）
suicidal	[ˌsu:ɪˈsaɪdl] a. 自杀（性）的；有自杀倾向的
independence	[ˏɪndɪˈpendəns] n. 独立，自主
humid	[ˈhjuːmɪd] a. 湿的，潮湿的，湿润的，多潮气的
hover	[ˈhɔvə(r)] v. （鸟等）翱翔，盘旋；逗留在近旁，徘徊；彷徨，犹豫
advance	|
dedicate	[ˈdedɪkeɪt] vt. 献（身）；（在著作等上）题献词
flavour	|
excess	|
combination	[ˏkɔmbɪˈneɪʃn] n. 结合（体），联合（体）；化合
gregarious	[grɪˈgeərɪəs] a. 群居的；合群的；爱交际的
motion	|
prosper	[ˈprɔspə(r)] vi. 繁荣，兴旺；成功
constant	[ˈkɔnstənt] a. 经常的，不断的；坚定的，永恒的，忠实的；持续的，不变的  n. 常数，恒量
intellectual	|
incompatible	[ˏɪŋkəmˈpætəbl] a. 不兼容的，不能和谐共存的，不协调的，合不来的
apace	[əˈpeɪs] ad. 快速地，急速地
pilot	|
fluctuation	[ˌflʌktʃʊ'eɪʃn] n. 波动，起伏；动摇
counsel	|
correlation	[ˌkɒrəˈleɪʃn] n. 相互关系，相关（性）
worthwhile	[ˌwɜ:θˈwaɪl] a. 值得花费时间（或金钱）的，值得做的
advent	[ˈædvənt] n. 到来；出现
predator	[ˈpredətə(r)] n. 捕食性动物；食肉动物；奴役他人者（尤指在财务或性关系上面）；剥削者，掠夺者
effort	[ˈefət] n. 努力，艰难的尝试；成就
host	|
fleet	|
propose	[prəˈpəuz] v. 提议，建议；提名，推荐；打算；（向某人）求婚
devote	[dɪˈvəut] vt. 将……奉献给；致力（于）
yield	|
minister	[ˈmɪnɪstə(r)] n. 部长；外交使节；牧师
deter	[dɪˈtɜː(r)] v. 威慑，吓住，（使）断念
odour	[ˈəudə(r)] n. 气味
ongoing	|
illustration	[ˌɪləˈstreɪʃn] n. 说明；实例；图解，插图
venue	[ˈvenjuː] n. （聚焦、审判、比赛等的）地点
elucidate	[ɪˈluːsɪdeɪt] vt. 阐明，使……清楚
furnace	[ˈfɜːnɪs] n. 熔炉
grid	[grɪd] n. 格子，栅格；地图上的坐标方向；输电网，煤气输送网
acclimatise	___acclimatise_ [əˈklaɪmətaɪz] v. （使……）服水土；（使……）适应新环境
virtually	[ˈvɜ:tʃuəli] ad. 几乎，差不多；实际上，事实上
compete	[kəmˈpiːt] vi. 竞争；比赛
perceive	[pəˈsiːv] vt. 感知，察觉；认识到，理解
allergic	[əˈlɜ:dʒɪk] n. 过敏的，（对……）变态反应的，变应性的
imprecise	[ˏɪmprɪˈsaɪs] a. 不精确的，不严密的
variation	[ˏveərɪˈeɪʃn] n. 变化，变动；变种；变异；变更；变奏
substitute	|
boast	[bəust] n./v. 自夸；夸耀
issue	|
longitude	[ˈlɔndʒɪtjuːd] n. 经度，经线
contrast	|
standard	|
urge	[ɜːdʒ] v. 敦促，力劝；鼓励；竭力主张
algebra	[ˈældʒɪbrə] n. 代数
patent	|
payment	[ˈpeɪmənt] n. 支付；支付的款项
conversation	[ˏkɔnvəˈseɪʃn] n. 会话，谈话
repertoire	__repotoire__ [ˈrepətwɑː(r)] n. （剧团等）常备剧目；（剧团、演员等的）全部节目
retire	[rɪˈtaɪə(r)] v. 退休；引退，退隐，撤退
headline	[ˈhedlaɪn] n. 大字标题；[常pl.] 头版头条新闻
primary	[ˈpraɪmərɪ] a. 最初的，初级的；首要的，基本的
spill	[spɪl] v. （使）溢出；涌出
headquarters	[ˈhedˈkwɔ:təz] n. 总部，总公司；大本营；司令部
exceptional	[ɪkˈsepʃənl] a. 例外的；异常的
avoid	__aviod__ [əˈvɔɪd] vt. 避免；躲开
imperil	[ɪmˈperəl] vt. 使陷于危险，危及
weaken	['wi:kən] v. （使）变弱，（使）减弱
goggles	[ˈgɔglz] n. 护目镜；风镜；游泳镜
contrive	[kənˈtraɪv] v. 计划，图谋；设计；发明
parental	[pəˈrentl] a. 父的；母的；父母（般）的
contemporary	|
contrary	|
reciprocate	[rɪˈsɪprəkeɪt] v. 回报，回应；报答
fickle	__fickel__ [ˈfɪkl] a. 易变的，无常的
deliberate	|
patriotic	[ˌpætriˈɔtik] a. 爱国的，有爱国心的；显示出爱国精神的
acquaint	[əˈkweɪnt] vt. （使）认识；（使）熟悉
instrument	[ˋɪnstrəmənt] n. 仪器；手段；工具；乐器
receipt	[rɪˈsiːt] n. 收到，接到；发票，收据；[pl.] 收入，进款
consulate	[ˈkɒnsjələt] n. 领事馆；领事职位，领事任期
modish	[ˈməudɪʃ] a. 流行的，时髦的
attraction	[əˈtrækʃn] n. 爱慕，吸引；吸引力；具有吸引力的事（或人）
keen	[kiːn] a. 热衷的，热心的，渴望的；敏锐的，敏捷的；激烈的，紧张的；锋利的
address	|
justice	[ˈdʒʌstɪs] n. 正义，公正；司法
humour	[ˈhjuːmə(r)] n. 幽默，幽默感
lack	[læk] n./vt. 缺乏，不足，没有
accredit	[əˈkredɪt] vt. 信任，相信，委任，授权；把……归于
stipulate	[ˈstɪpjuleɪt] v. 规定，明确要求；（作为条件）讲定，约定
finance	|
urgent	[ˈɜːdʒənt] a. 紧急的，紧迫的；催促的，急切的
grassy	['ɡrɑ:sɪ] a. 草绿色的；似草的
huddle	|
attach	[əˈtætʃ] v. 系，贴；认为有重要性（或意义，价值等）；使附属，附加
overlapping	[əʊvə'læpɪŋ] a. 重叠的；共通的
thrill	[θrɪl] v. （使）非常激动；（使）发抖
amass	[əˈmæs] vt. 积聚
statistic	[stəˈtɪstɪk] n. 统计数值；统计学
digital	[ˈdɪdʒɪtl] a. 数码的，数字的
opaque	__outsell__ [əuˈpeɪk] a. 不透明的；晦涩的，难懂的
seclude	[sɪˈkluːd] vt. 使隔离，使孤立
cultivate	[ˈkʌltɪveɪt] vt. 种植；培养
posture	[ˈpɔstʃə(r)] n. 姿势；心情；态度
collapse	[kəˈlæps] v./n. 坍塌，崩溃；晕倒
fallow	[ˈfæləu] a. （土地）休耕的；休闲的
compact	|
basis	[ˈbeɪsɪs] n. 基础；根据；原则
refer	[rɪˈfɜː(r)] v. 参考，查阅，查询；提到，谈及；引用；提交，上呈
bouncing	[ˈbaʊnsɪŋ] a. 健壮的，茁壮的
pesticide	[ˈpestɪsaɪd] n. 杀虫剂，农药
limitation	[ˏlɪmɪˈteɪʃn] n. 限制；局限
earthworm	[ˈɜ:θˌwɜ:m] n. 蚯蚓；小人
opulence	['ɒpjələns] n. 财富，富裕；丰富，富饶
cruise	|
ecological	[ˌi:kəˈlɒdʒɪkl] a. 生态学的，生态的
string	|
Mediterranean	|
reputable	[ˈrepjutəbl] a. 名声好的，高尚的；受尊敬的；值得信赖的
variability	[ˌveəriəˈbɪləti] n. 可变性，易变性
character	[ˈkærəktə(r)] n. 性格，品质；性质，特性；人物，角色；（书写或印刷）符号，（汉）字
mishandle	[ˏmɪsˈhændl] vt. 粗暴地对待；错误地处理，胡乱操作
apportion	[əˈpɔːʃn] vt. 分派，（按比例或计划）分配
nutritional	[njʊ'trɪʃənl] a. 营养的，滋养的；营养物的，食物的
rescue	[ˈreskjuː] n./vt. 营救，救援
surf	[sɜːf] v. 冲浪
chancellor	__chansellor__ [ˈtʃɑːnsələ(r)] n. 大臣；总理；首席法官；大学校长
consequential	[ˏkɔnsɪˈkwenʃl] a. 结果的，随之发生的
quartz	[kwɔːts] n. 石英
lull	[lʌl] n. 间歇，暂停；平静期
contradiction	[ˌkɒntrəˈdɪkʃn] n. 矛盾，不一致；否认，反驳
suitable	[ˈsuːtəbl] a. 适当的，相配的；合适的，适宜的
delegate	|
compile	[kəmˈpaɪl] vt. 汇编；编纂
addict	[ˈædɪkt] n. 吸毒成瘾的人，有瘾的人，对……入迷的人
secure	|
minimal	[ˈmɪnɪməl] a. 最小的，最低限度的
defendant	|
anchor	|
scrape	[skreɪp] v./n. 刮，擦
transit	|
vacation	[vəˈkeɪʃn] n. 假期；休假
overlap	[ˏəuvəˈlæp] v. （使）部分重叠，交叠
bonus	[ˈbəunəs] n. 资金，红利；好处
anticipation	[ænˏtɪsɪˈpeɪʃn] n. 预料
advertisement	[ədˈvɜ:tɪsmənt] n. 广告，公告；广告活动，宣传
specialty	[ˈspeʃəlti] n. 特产；特长
voluntary	[ˈvɔləntrɪ] a. 自愿的，志愿的
anecdotal	[ˌænɪkˈdəʊtl] a. 轶话的，轶闻趣事的
acclaim	|
coverage	[ˈkʌvərɪdʒ] n. 新闻报道；覆盖范围
aggressive	[əˈgresɪv] a. 侵犯的，侵略的；挑衅的；有进取心的，有冲劲的
exacerbate	[ɪgˈzæsəbeɪt] vt. 恶化，加剧
persuade	[pəˈsweɪd] v. 说服，劝说；使相信
identical	[aɪˈdentɪkl] a. 完全相同的，同一的
eternal	[ɪˈtɜːnl] a. 永恒的
legislation	[ˌledʒɪsˈleɪʃn] n. 法律，法规；立法
valuable	|
snap-up	snap up 抢购
uncertainty	[ʌn'sɜ:tntɪ] n. 犹豫，迟疑；不确定；无把握
trespass	[ˈtrespəs] vi. 侵犯（某人的财产）；擅闯（某人的领地）；利用（某物）；冒犯，触犯
isolated	['aɪsəleɪtɪd] a. 隔离的，分离的；与世隔绝的，偏僻的；孤立的，孤独的；个别的
fade	[feɪd] v. （使）变淡，变暗；褪色；凋谢；逐渐消失
curriculum	[kəˈrɪkjuləm] n. 课程，（学校等的）全部课程
negative	|
narrator	[nəˈreɪtə(r)] n. 讲述者，叙述者
decorate	[ˈdekəreɪt] v. 装饰，装潢，布置；授勋
precarious	[prɪˈkeərɪəs] a. 不安全的，充满危险的；不牢靠的，不稳固的
charge	|
hiccup	|
distinctive	__distinctive_ [dɪˈstɪŋktɪv] a. 出众的；有特色的
flip	[flɪp] v. 轻抛；轻弹
charter	|
obstruct	[əbˈstrʌkt] v. 妨碍，阻止；阻塞；截断
unsatisfactory	[ˌʌnˌsætɪsˈfæktəri] a. 不能令人满意的
declare	[dɪˈkleə(r)] v. 正式宣布；声明；断言
prefabricate	[ˏpriːˈfæbrɪkeɪt] vt. 预制构件（用以组装建筑物、船舶等）
prospectus	[prəˈspektəs] n. 内容说明书，简章，简介
physical	|
analysis	[əˈnæləsɪs] n. 分析，分解
ferry	|
drainage	[ˈdreɪnɪdʒ] n. 排水（系统）
sympathise	['sɪmpəθaɪz] vi. 同情；赞同
retrenchment	[rɪ'trentʃmənt] n. 节省；削减
capsize	[kæpˈsaɪz] v. （使船）翻，倾履
explosive	|
horrify	[ˈhɔrɪfaɪ] vt. 使恐惧，使惊骇；使震惊；使感到厌恶
gender	[ˈdʒendə(r)] n. 性别；（语法中的）性
batch	[bætʃ] n. 一批，一组，一群；一批生产量
avalanche	__avalanch__ [ˈævəlɑːnʃ] n./v. 雪崩
survey	|
opportunity	[ˏɔpəˈtjuːnətɪ] n. 机会，时机
adobe	[əˈdəubɪ] n. 土坯，泥砖
highland	['haɪlənd] n. 高地，高原
owe	[əu] vt. 欠；把……归功于
inscribe	[ɪnˈskraɪb] v. （在某物上）写、题、铭刻；牢记，铭记
contingency	[kənˈtɪndʒənsɪ] n. 偶然性，可能性；意外事件；附带事件
harsh	[hɑːʃ] a. 严厉的，严酷的；粗糙的，毛糙的；刻薄的；（天气或生活环境）恶劣的；刺耳的，刺目的
exploitation	[ˌeksplɔɪˈteɪʃn] n. 开采，开发；剥削，榨取；自私的利用
select	|
military	|
perspective	[pəˈspektɪv] n. （判断事物的）角度，方法；透视法
creative	[kriːˈeɪtɪv] a. 创造性的；创作的
seasonal	[ˈsiːzənl] a. 季节性的，随季节而变化的；节令性的
landmark	[ˈlændmɑ:k] n. 路标，地标；里程碑
esteem	[ɪˈstiːm] n./vt. 尊重；尊敬
proximity	[prɔkˈsɪmətɪ] n. 接近，邻近；亲近
in-vain	in vain 徒然，无效例
resemble	[rɪˈzembl] vt. 与……相似，像
cricket	[ˈkrɪkɪt] n. 板球；蟋蟀
spiritual	[ˈspɪrɪtʃuəl] a. 精神的；心灵的；宗教的
roam	|
analogous	[əˈnæləgəs] a. 类似的
given	[ˈgɪvn] a. 规定的，特定的；假设的
postcode	[ˈpəʊstkəʊd] n. 邮政编码
maximise	[ˈmæksɪmaɪz] vt. 使增加到最大限度，最佳化；充分利用
assignment	[əˈsaɪnmənt] n. 任务，工作
sophisticated	[səˈfɪstɪkeɪtɪd] a. 老于世故的，老练的；精密的，尖端的，先进的；复杂的；高雅的，有教养的
reduce	[rɪˈdjuːs] v. 减少，缩小；简化
slothful	[ˈsləuθfəl] a. 怠惰的，懒惰的；迟钝的
pepper	|
pamper	[ˈpæmpə(r)] vt. 纵容，娇惯；精心护理
truant	|
revise	[rɪˈvaɪz] v. 修订；复习
centrifugal-force	__centrifugal__ __force__ [senˈtrɪfjəgəl fɔ:s] n. 离心力
historian	[hɪˈstɔːrɪən] n. 历史学家，历史学工作者
constitution	[ˏkɔnstɪˈtjuːʃn] n. 宪法，章程；体质，体格；组成，形成
inland	[ˈɪnlænd] a. 内陆的
incinerate	[ɪnˈsɪnəreɪt] vt. 焚化，焚毁，把……烧成灰烬
underling	[ˈʌndəlɪŋ] n. 职位低的人，下属
repaint	[ri:'peɪnt] v. 重新油漆，重画
crude	[kruːd] a. 天然的；粗糙的；粗俗的
reel	|
potential	|
essential	|
apply	[əˈplaɪ] v. 申请；应用，使用；涉及
specialise	[ˈspeʃəlaɪz] v. 专门研究，专攻；专用于，使适应特殊目的
twist	|
maintain	[meɪnˈteɪn] vt. 维持，保持；维修，保养；坚持，主张；赡养，负担
cease	[siːs] v. 停止，终止
dump	|
stale	[steɪl] a. 不新鲜的；陈腐的
legitimize	[lɪ'dʒɪtəmaɪz] vt. 使合法；赋予合法权利
intelligent	[ɪnˈtelɪdʒənt] a. 聪明的，理智的
challenge	|
imitation	[ˏɪmɪˈteɪʃn] n. 模仿；仿造；仿制品，假货，赝品
distort	[dɪˈstɔːt] vt. 扭曲；曲解；变形
canteen	[kænˈtiːn] n. 餐厅，食堂
smart	[smɑːt] a. 漂亮的，时髦的；高明的
trace	|
responsible	[rɪˈspɔnsəbl] a. 有责任感的；可靠的
petrol	[ˈpetrəl] n. 汽油
eliminate	[ɪˈlɪmɪneɪt] vt. 消灭，消除；淘汰
particular	|
vomit	|
apparatus	[ˏæpəˈreɪtəs] n. 器械，器具，仪器；机构，组织
extinguisher	[ɪkˈstɪŋgwɪʃə] n. 灭火器；灭火者
overestimate	|
spectrum	[ˈspektrəm] n. 谱，光谱，频谱；范围，幅度
revegetate	[ri:'vedʒɪteɪt] v. 再生长，再植
asset	[ˈæset] n. 财产；优点
excavate	[ˈekskəveɪt] vt. 挖掘，开凿
bully	|
promise	[ˈprɔmɪs] n./v. 允诺，保证；预兆，预示
monopoly	[məˈnɔpəlɪ] n. 垄断，专卖；垄断商品，专卖商品
